NACA 00135
1.00000000	0.00000000
0.99878203	0.00019384
0.99513403	0.00077268
0.98907380	0.00172860
0.98063085	0.00304868
0.96984631	0.00471543
0.95677273	0.00670735
0.94147380	0.00899949
0.92402405	0.01156414
0.90450850	0.01437147
0.88302222	0.01739006
0.85966990	0.02058739
0.83456530	0.02393019
0.80783074	0.02738461
0.77959645	0.03091630
0.75000000	0.03449032
0.71918557	0.03807098
0.68730330	0.04162160
0.65450850	0.04510432
0.62096095	0.04847984
0.58682409	0.05170739
0.55226423	0.05474476
0.51744975	0.05754854
0.48255025	0.06007453
0.44773577	0.06227844
0.41317591	0.06411670
0.37903905	0.06554748
0.34549150	0.06653182
0.31269670	0.06703484
0.28081443	0.06702688
0.25000000	0.06648460
0.22040355	0.06539189
0.19216926	0.06374053
0.16543470	0.06153051
0.14033010	0.05877009
0.11697778	0.05547540
0.09549150	0.05166969
0.07597595	0.04738227
0.05852620	0.04264708
0.04322727	0.03750110
0.03015369	0.03198250
0.01936915	0.02612888
0.01092620	0.01997544
0.00486597	0.01355338
0.00121797	0.00688845
0.00000000	0.00000000
0.00121797	-0.00688845
0.00486597	-0.01355338
0.01092620	-0.01997544
0.01936915	-0.02612888
0.03015369	-0.03198250
0.04322727	-0.03750110
0.05852620	-0.04264708
0.07597595	-0.04738227
0.09549150	-0.05166969
0.11697778	-0.05547540
0.14033010	-0.05877009
0.16543470	-0.06153051
0.19216926	-0.06374053
0.22040355	-0.06539189
0.25000000	-0.06648460
0.28081443	-0.06702688
0.31269670	-0.06703484
0.34549150	-0.06653182
0.37903905	-0.06554748
0.41317591	-0.06411670
0.44773577	-0.06227844
0.48255025	-0.06007453
0.51744975	-0.05754854
0.55226423	-0.05474476
0.58682409	-0.05170739
0.62096095	-0.04847984
0.65450850	-0.04510432
0.68730330	-0.04162160
0.71918557	-0.03807098
0.75000000	-0.03449032
0.77959645	-0.03091630
0.80783074	-0.02738461
0.83456530	-0.02393019
0.85966990	-0.02058739
0.88302222	-0.01739006
0.90450850	-0.01437147
0.92402405	-0.01156414
0.94147380	-0.00899949
0.95677273	-0.00670735
0.96984631	-0.00471543
0.98063085	-0.00304868
0.98907380	-0.00172860
0.99513403	-0.00077268
0.99878203	-0.00019384
1.00000000	0.00000000
